Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
ingles i-mart,1817 dallas nebo rd,douglasville,ga,301344865,flna,2407474,80,0.949922025
ingles 414,1817 dallas nebo rd,douglasville,ga,301344865,flna,2367095,80,0.949922025
citgo food mart,3657 martin luther king jr dr sw,atlanta,ga,303313710,flna,793780,81,0.692436393
shell food mart,3601 martin luther king sw j,atlanta,ga,303313710,flna,1584258,81,0.692436393
petro travel store,3181 donald lee hollowell pkwy nw,atlanta,ga,303189002,flna,1237580,82,0.709070146
petro fuel line,3181 donald lee hollowell pkwy nw,atlanta,ga,303189002,flna,1243419,82,0.709070146
citgo food,12291 veterans memorial hwy,douglasville,ga,301342005,flna,1713921,83,0.850354791
citgo global mart,12241 veterans memorial hwy,douglasville,ga,301342003,flna,1826112,83,0.850354791
clipper 48,5160 s cobb dr se,smyrna,ga,300807181,flna,1524967,84,0.976463378
clipper,5220 s cobb dr se,smyrna,ga,300807180,flna,42257003,84,0.976463378
circle k gas express,372 moreland ave ne,atlanta,ga,303071927,flna,1146948,85,0.985528648
circel k gas express,350 moreland ave ne,atlanta,ga,303071927,flna,42124496,85,0.985528648
gnt food,874 cleveland ave,east point,ga,303442927,flna,1177499,86,0.583694816
shell food mart clev,890 cleveland ave,east point,ga,303442927,flna,2020799,86,0.583694816
big bear,693 joseph e lowery blvd sw,atlanta,ga,303101819,flna,793746,87,0.42873922
big brothers meat n,530 joseph e lowery blvd sw,atlanta,ga,303101836,flna,42215554,87,0.42873922
circle k gas express,2964 moreland ave,conley,ga,302881008,flna,1725998,88,0.93097496
circle k gas express,3000 old moreland avenue,conley,ga,30288,flna,42267996,88,0.93097496
walmart sc 6998,844 cleveland ave,east point,ga,303442900,flna,42133272,89,0.977709949
walmart sc imp 6998,844 cleveland ave,east point,ga,303442900,flna,42133273,89,0.977709949
walmart sc 3008,825 martin luther king jr dr nw,atlanta,ga,303143602,flna,42055269,90,0.984892786
walmart sc imp3008,825 martin luther king jr dr nw,atlanta,ga,303143602,flna,42055270,90,0.984892786
walmart sc 3741,1105 research center atlanta dr sw,atlanta,ga,303318592,flna,42090522,91,0.977709949
walmart sc imp 3741,1105 research center atlanta dr sw,atlanta,ga,303318592,flna,42090524,91,0.977709949
walmart sc 3775,1801 howell mill rd nw,atlanta,ga,303180911,flna,2251851,92,0.977709949
walmart sc imp 3775,1801 howell mill rd nw,atlanta,ga,303180911,flna,2251852,92,0.977709949
walmart sc 1488,7001 concourse pkwy,douglasville,ga,301344549,flna,1045331,93,0.977709949
